Match Number,Round Number,Date Time - BST,Local Time,Location,Home Team,Away Team,Group,Home Goals,Away Goals,Home Points,Away Points,,,Local Time,
59,3,26/06/2026 03:00,25/06/2026 19:00,Los Angeles Stadium,Turkey,United States,Group D,,,,,,,25/06/2026 19:00,(UTC-7)
60,3,26/06/2026 03:00,25/06/2026 19:00,San Francisco Bay Area Stadium,Paraguay,Australia,Group D,,,,,,,25/06/2026 19:00,(UTC-7)
61,3,26/06/2026 20:00,26/06/2026 15:00,Boston Stadium,Norway,France,Group I,,,,,,,26/06/2026 15:00,(UTC-4)
62,3,26/06/2026 20:00,26/06/2026 15:00,Toronto Stadium,Senegal,Iraq,Group I,,,,,,,26/06/2026 15:00,(UTC-4)
65,3,27/06/2026 01:00,26/06/2026 19:00,Houston Stadium,Cape Verde,Saudi Arabia,Group H,,,,,,,26/06/2026 19:00,(UTC-5)
66,3,27/06/2026 01:00,26/06/2026 18:00,Guadalajara Stadium,Uruguay,Spain,Group H,,,,,,,26/06/2026 18:00,(UTC-6)
63,3,27/06/2026 04:00,26/06/2026 20:00,Seattle Stadium,Egypt,Iran,Group G,,,,,,,26/06/2026 20:00,(UTC-7)
64,3,27/06/2026 04:00,26/06/2026 20:00,BC Place Vancouver,New Zealand,Belgium,Group G,,,,,,,26/06/2026 20:00,(UTC-7)
67,3,27/06/2026 22:00,27/06/2026 17:00,New York/New Jersey Stadium,Panama,England,Group L,,,,,,,27/06/2026 17:00,(UTC-4)
68,3,27/06/2026 22:00,27/06/2026 17:00,Philadelphia Stadium,Croatia,Ghana,Group L,,,,,,,27/06/2026 17:00,(UTC-4)
71,3,28/06/2026 00:30,27/06/2026 19:30,Miami Stadium,Colombia,Portugal,Group K,,,,,,,27/06/2026 19:30,(UTC-4)
72,3,28/06/2026 00:30,27/06/2026 19:30,Atlanta Stadium,DR Congo,Uzbekistan,Group K,,,,,,,27/06/2026 19:30,(UTC-4)
69,3,28/06/2026 03:00,27/06/2026 21:00,Kansas City Stadium,Algeria,Austria,Group J,,,,,,,27/06/2026 21:00,(UTC-5)
70,3,28/06/2026 03:00,27/06/2026 21:00,Dallas Stadium,Jordan,Argentina,Group J,,,,,,,27/06/2026 21:00,(UTC-5)
73,Round of 32,28/06/2026 20:00,28/06/2026 12:00,Los Angeles Stadium,2A,2B,,,,,,,,28/06/2026 12:00,(UTC-7)
76,Round of 32,29/06/2026 18:00,28/06/2026 19:00,Houston Stadium,1C,2F,,,,,,,,28/06/2026 19:00,(UTC-7)
74,Round of 32,29/06/2026 21:30,29/06/2026 16:30,Boston Stadium,1E,3ABCDF,,,,,,,,29/06/2026 16:30,(UTC-4)
75,Round of 32,30/06/2026 02:00,29/06/2026 19:00,Monterrey Stadium,1F,2C,,,,,,,,29/06/2026 19:00,(UTC-6)
78,Round of 32,30/06/2026 18:00,30/06/2026 12:00,Dallas Stadium,2E,2I,,,,,,,,30/06/2026 12:00,(UTC-5)
